,titles,publishers,authors,years
492,Cinderella's sisters : a revisionist history of footbinding,"Berkeley, Calif. : University of California Press c2005",Dorothy Ko,2005
493,Power and resistance in the new world order,Basingstoke ; New York : Palgrave Macmillan 2003,Stephen Gill,2003
494,Legal traditions of the world : sustainable diversity in law,"Fifth edition Oxford, United Kingdom ; New York, NY : Oxford University Press 2014",H. Patrick Glenn,2014
495,綠色思想與香港,香港 : 青文書屋 1989,"周兆祥 , 羅維恩, 粱淑君合編",1989
496,Exhibiting cultures : the poetics and politics of museum display,Smithsonian Institution Press : : Washington c1991,edited by Ivan Karp and Steven D. Lavine,1991
497,何以三代以下有亂無治 : 明夷待訪錄 = Waiting for the dawn : a plan for the prince,初版 台北市 : 大塊文化出股份有限公司 2011,黃宗羲原著 ; 王汎森導讀 ; 何季澄2.0繪圖,2011
498,"Cities, war, and terrorism : towards an urban geopolitics","Malden, MA : Blackwell Publishing 2004",edited by Stephen Graham,2004
499,非物質文化遺產與東亞地方社會,第1版 香港 : 香港科技大學華南研究中心 : 香港文化博物館 2011,廖迪生主編 = Intangible cultural heritage and local communities in East Asia / edited by Liu Tik-sang,2011
500,"Origins of North Korea's Juche : colonialism, war, and development",Lanham : Lexington Books c2013,edited by Jae-Jung Suh,2013
501,"War, peace and international relations : an introduction to strategic history",London ; New York : Routledge 2007,Colin S. Gray,2007
502,Fandom unbound : otaku culture in a connected world,New Haven : Yale University Press c2012,"edited by Mizuko Ito, Daisuke Okabe, Izumi Tsuji",2012
503,我們在慶祝甚麼? : 香港的多元文化節慶,初版 香港 : 麥穗出版有限公司 2017年12月,"譚少薇, 鄧偉文編 = What are we celebrating? multicultural festivals in Hong Kong / edited by Siumi Maria Tam, and Wai-man Tang",2017
504,The global warming reader : a century of writing about climate change,"New York, N.Y. : Penguin Books 2012, c2011",edited with an introduction by Bill McKibben,2011
505,Why Arendt matters,New Haven : Yale University Press 2006,Elisabeth Young-Bruehl,2006
506,"Pattern and person : ornament, society, and self in classical China","Cambridge, Mass. : Harvard University Asia Center 2006",Martin J. Powers,2006
507,Casting stones : prostitution and liberation in Asia and the United States,Minneapolis : Fortress Press c1996,Rita Nakashima Brock and Susan Brooks Thistlethwaite,1996
508,Strategy in the contemporary world : an introduction to strategic studies,4th edition Oxford : Oxford University Press c2013,"edited by John Baylis, James J. Wirtz, and Colin S. Gray",2013
509,Reinventing the skyscraper : a vertical theory of urban design,Chichester : Wiley-Academy 2002,by Ken Yeang,2002
510,香港敎育政策分析 : 社會學的視域,香港第1版 香港 : 三聯書店香港有限公司 ; 1998,曾榮光著,1998
511,The globalization reader,"Fifth Edition Hoboken, NJ : Wiley 2015",edited by Frank J. Lechner and John Boli,2015
512,Social world of the Hebrew prophets,"Peabody, Mass. : Hendrickson c2001",Victor H. Matthews,2001
513,Nutrition in public health : a handbook for developing programs and services,"3rd ed Sudbury, MA : Jones & Bartlett Learning c2011",edited by Sari Edelstein,2011
514,The Hong Kong health sector : development and change,Hong Kong : The Chinese University Press c2002,Robin Gauld & Derek Gould,2002
515,The psychology of lifestyle : promoting healthy behaviour,"Abingdon, Oxon ; New York : Routledge 2009",Kathryn Thirlaway and Dominic Upton,2009
516,The map of meaning : a guide to sustaining our humanity in the world of work,Sheffield : Greenleaf Pub. 2011,Marjolein Lips-Wiersma and Lani Morris,2011
517,Minor illness or major disease?,5th ed. / Brian Addison ... [et al.] London : Pharmaceutical Press 2012,,2012
518,Making health policy,Second edition Maidenhead : McGraw Hill/Open University Press 2012,"Kent Buse, Nicholas Mays and Gill Walt",2012
519,Retribution and eschatology in chronicles,"Sheffield, England : Sheffield Academic Press c1996",Brian E. Kelly,1996
520,National responsibility and global justice,Oxford ; New York : Oxford University Press 2007,David Miller,2007
521,Making representations : museums in the post-colonial era,London ; New York : Routledge 1996,Moira G. Simpson,1996
522,Elements of family law in Singapore,2nd ed Singapore : LexisNexis 2013,Leong Wai Kum,2013
523,"Understanding classical sociology : Marx, Weber, Durkheim","2nd ed London ; Thousand Oaks, Calif. : Sage Publications c2003","John A. Hughes, Wes W. Sharrock, Peter J. Martin",2003
524,Epidemiology and public health medicine,Edinburgh : Churchill Livingstone 1999,"Norman Vetter, Ian Matthews",1999
525,"Community care in Hong Kong : current practices, practice-research studies and future directions",Hong Kong : City University of Hong Kong Press 2014,"edited by Kar-wai Tong, Kenneth Nai-kuen Fong, Kar-wai Tong, Kenneth Nai-kuen Fong",2014
526,"ASEAN, identity, development & culture","Quezon City,Philippines : University of the Philippines Law CenterHonolulu,Hawaii : East-West Center Culture Learning Institute c1981","R.P. Anand, Purificacion V. Quisumbing, editors",1981
527,"特集制度/プログラム/ビルディング · タイプ = institution, program, building type",初版 東京 : INAX出版 1994,多本浩二 [and others],1994
528,Lifestyle medicine,"2nd ed Boca Raton, FL : CRC Press c2013",edited by James M. Rippe,2013
529,"特集生きられる東京 : 都市の経験, 都市の時間",初版 東京 : INAX出版 2005,編集制作メディア・デザイン研究所,2005
530,Marx : a very short introduction,Oxford ; New York : Oxford University Press 2000,Peter Singer,2000
531,西漢人口地理,第1版 北京 : 人民出版社 1986,葛劍雄著,1986
